date,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,correct,pnl_bps
2020-11-25,1,1,0.009172377208010118,1,0.009172377208010118,0.5084849042409942,1,91.72377208010118
2020-11-27,1,1,0.00203778658378706,1,0.00203778658378706,0.5105226908247813,1,20.3778658378706
2020-11-30,1,1,0.012735041086887833,1,0.012735041086887833,0.5232577319116691,1,127.35041086887833
2020-12-01,1,1,0.0012840845474642038,1,0.0012840845474642038,0.5245418164591333,1,12.840845474642038
2020-12-02,-1,-1,0.001414105528759535,1,-0.001414105528759535,0.5231277109303738,0,-14.14105528759535
2020-12-03,-1,-1,0.004066516952796917,1,-0.004066516952796917,0.5190611939775769,0,-40.66516952796917
2020-12-04,-1,-1,0.005646963750955969,1,-0.005646963750955969,0.5134142302266209,0,-56.46963750955969
2020-12-07,-1,-1,0.003378992396241287,1,-0.003378992396241287,0.5100352378303796,0,-33.78992396241287
2020-12-08,-1,-1,-0.022901127057664894,-1,0.022901127057664894,0.5329363648880445,1,229.01127057664894
2020-12-09,1,1,0.004007569134851785,1,0.004007569134851785,0.5369439340228963,1,40.07569134851785
2020-12-10,1,1,-0.002216978017261617,-1,-0.002216978017261617,0.5347269560056347,0,-22.16978017261617
2020-12-11,1,1,0.007229144983979197,1,0.007229144983979197,0.5419561009896139,1,72.29144983979197
2020-12-14,1,1,0.010632468496496905,1,0.010632468496496905,0.5525885694861108,1,106.32468496496905
2020-12-15,-1,-1,0.005484469950501669,1,-0.005484469950501669,0.5471040995356091,0,-54.84469950501669
2020-12-16,-1,-1,0.006516669154532195,1,-0.006516669154532195,0.5405874303810769,0,-65.16669154532195
2020-12-17,-1,-1,-0.003027146756502397,-1,0.003027146756502397,0.5436145771375793,1,30.27146756502397
2020-12-18,-1,-1,-0.0018723718685782487,-1,0.0018723718685782487,0.5454869490061576,1,18.723718685782487
2020-12-21,1,1,0.002715509613101297,1,0.002715509613101297,0.5482024586192589,1,27.155096131012968
2020-12-22,1,1,-0.005048987430364527,-1,-0.005048987430364527,0.5431534711888943,0,-50.489874303645266
2020-12-23,1,1,0.004402689497069012,1,0.004402689497069012,0.5475561606859634,1,44.02689497069012
2020-12-24,1,1,0.010028784037422689,1,0.010028784037422689,0.557584944723386,1,100.28784037422689
2020-12-28,1,1,0.0008950326289909327,1,0.0008950326289909327,0.558479977352377,1,8.950326289909327
2020-12-29,1,1,3.169193427954298e-05,1,3.169193427954298e-05,0.5585116692866565,1,0.31691934279542977
2020-12-30,-1,-1,0.0024573400807739176,1,-0.0024573400807739176,0.5560543292058826,0,-24.573400807739176
2020-12-31,1,1,-0.014220494547694251,-1,-0.014220494547694251,0.5418338346581884,0,-142.2049454769425
2024-06-25,-1,-1,0.0020631074032593233,1,-0.0020631074032593233,0.539770727254929,0,-20.631074032593233
2024-06-26,-1,-1,0.0025780298563526927,1,-0.0025780298563526927,0.5371926973985763,0,-25.780298563526927
2024-06-27,1,1,-0.005204448898960656,-1,-0.005204448898960656,0.5319882484996157,0,-52.04448898960656
2024-06-28,1,1,0.005847935205040677,1,0.005847935205040677,0.5378361837046564,1,58.479352050406774
2024-07-01,1,1,0.010444954966474462,1,0.010444954966474462,0.5482811386711308,1,104.44954966474462
2024-07-02,1,1,0.00830247105755344,1,0.00830247105755344,0.5565836097286843,1,83.0247105755344
2024-07-03,1,1,0.010372839578189463,1,0.010372839578189463,0.5669564493068737,1,103.72839578189463
2024-07-05,1,1,0.002375379924283827,1,0.002375379924283827,0.5693318292311575,1,23.75379924283827
2024-07-08,1,1,0.0008643296255659294,1,0.0008643296255659294,0.5701961588567235,1,8.643296255659294
2024-07-09,1,1,0.010372468892903441,1,0.010372468892903441,0.5805686277496269,1,103.72468892903441
2024-07-10,-1,-1,-0.022174276871465892,-1,0.022174276871465892,0.6027429046210928,1,221.74276871465892
2024-07-11,-1,-1,0.005857713265169373,1,-0.005857713265169373,0.5968851913559234,0,-58.57713265169373
2024-07-12,-1,-1,0.0026842075439938995,1,-0.0026842075439938995,0.5942009838119295,0,-26.842075439938995
2024-07-15,-1,-1,0.0003828707356490213,1,-0.0003828707356490213,0.5938181130762805,0,-3.828707356490213
2024-07-16,-1,-1,-0.029794355919018578,-1,0.029794355919018578,0.6236124689952991,1,297.9435591901858
2024-07-17,1,1,-0.004743724798720095,-1,-0.004743724798720095,0.618868744196579,0,-47.43724798720095
2024-07-18,1,1,-0.008903157219508628,-1,-0.008903157219508628,0.6099655869770704,0,-89.03157219508628
2024-07-19,1,1,0.01478779351507864,1,0.01478779351507864,0.624753380492149,1,147.8779351507864
2024-07-22,1,1,-0.00353085472567205,-1,-0.00353085472567205,0.621222525766477,0,-35.3085472567205
2024-07-23,1,1,-0.03652937735231099,-1,-0.03652937735231099,0.584693148414166,0,-365.29377352310985
2024-07-24,1,1,-0.01108900477180974,-1,-0.01108900477180974,0.5736041436423562,0,-110.8900477180974
2024-07-25,1,1,0.010203747420259646,1,0.010203747420259646,0.5838078910626159,1,102.03747420259646
2024-07-26,1,1,0.0020068140815316937,1,0.0020068140815316937,0.5858147051441476,1,20.068140815316937
2024-07-29,1,1,-0.013826565985575634,-1,-0.013826565985575634,0.5719881391585719,0,-138.26565985575633
2024-07-30,1,1,0.029164212247899002,1,0.029164212247899002,0.6011523514064709,1,291.64212247899
2024-07-31,-1,-1,-0.024519540652846672,-1,0.024519540652846672,0.6256718920593176,1,245.19540652846672
2024-08-01,-1,-1,-0.02402111902016557,-1,0.02402111902016557,0.6496930110794832,1,240.2111902016557
2024-08-02,1,1,-0.030269668182759446,-1,-0.030269668182759446,0.6194233428967237,0,-302.6966818275945
2024-08-05,1,1,0.009509631872206548,1,0.009509631872206548,0.6289329747689303,1,95.09631872206548
2024-08-06,1,1,-0.010888852688184514,-1,-0.010888852688184514,0.6180441220807458,0,-108.88852688184514
2024-08-07,1,1,0.03013229692812658,1,0.03013229692812658,0.6481764190088724,1,301.3229692812658
2024-08-08,1,1,0.005208965264649201,1,0.005208965264649201,0.6533853842735216,1,52.08965264649201
2024-08-09,1,1,0.0021510968264371044,1,0.0021510968264371044,0.6555364810999587,1,21.510968264371044
2024-08-12,1,1,0.024509972825561555,1,0.024509972825561555,0.6800464539255202,1,245.09972825561556
2024-08-13,1,1,0.0003243133395942621,1,0.0003243133395942621,0.6803707672651145,1,3.243133395942621
2024-08-14,1,1,0.02494927708309813,1,0.02494927708309813,0.7053200443482126,1,249.49277083098133
2024-08-15,-1,-1,0.0012849696129544341,1,-0.0012849696129544341,0.7040350747352582,0,-12.849696129544341
2024-08-16,-1,-1,0.013050381518241672,1,-0.013050381518241672,0.6909846932170165,0,-130.5038151824167
2024-08-19,-1,-1,-0.0021008071880830315,-1,0.0021008071880830315,0.6930855004050995,1,21.008071880830315
2024-08-20,-1,-1,0.004653273946676251,1,-0.004653273946676251,0.6884322264584233,0,-46.53273946676251
2024-08-21,1,1,-0.015981814974815656,-1,-0.015981814974815656,0.6724504114836076,0,-159.81814974815654
2024-08-22,1,1,0.010786990449969558,1,0.010786990449969558,0.6832374019335772,1,107.86990449969558
2024-08-23,1,1,-0.009755691748988937,-1,-0.009755691748988937,0.6734817101845882,0,-97.55691748988937
2024-08-26,-1,-1,0.0029828661764925712,1,-0.0029828661764925712,0.6704988440080957,0,-29.828661764925712
2024-08-27,1,1,-0.011412247720643087,-1,-0.011412247720643087,0.6590865962874526,0,-114.12247720643087
2024-08-28,1,1,-0.001465027901913274,-1,-0.001465027901913274,0.6576215683855393,0,-14.65027901913274
2024-08-29,1,1,0.01184892078962374,1,0.01184892078962374,0.669470489175163,1,118.4892078962374
2024-08-30,1,1,-0.030831304885623467,-1,-0.030831304885623467,0.6386391842895396,0,-308.3130488562347
2024-09-03,1,1,-0.00260190226404422,-1,-0.00260190226404422,0.6360372820254954,0,-26.019022640442202
2024-09-04,1,1,0.000933220901193188,1,0.000933220901193188,0.6369705029266886,1,9.33220901193188
2024-09-05,1,1,-0.027152655118193536,-1,-0.027152655118193536,0.609817847808495,0,-271.52655118193536
2024-09-06,1,1,0.012777626961659294,1,0.012777626961659294,0.6225954747701543,1,127.77626961659294
2024-09-09,1,1,0.00919936643471253,1,0.00919936643471253,0.6317948412048668,1,91.9936643471253
2024-09-10,-1,-1,0.021482944600351495,1,-0.021482944600351495,0.6103118966045153,0,-214.82944600351493
2024-09-11,-1,-1,0.009768233997516695,1,-0.009768233997516695,0.6005436626069987,0,-97.68233997516695
2024-09-12,-1,-1,0.004469958028868071,1,-0.004469958028868071,0.5960737045781306,0,-44.69958028868071
2024-09-13,-1,-1,-0.004427712926226235,-1,0.004427712926226235,0.6005014175043568,1,44.27712926226235
2024-09-16,-1,-1,0.0005282060143141365,1,-0.0005282060143141365,0.5999732114900427,0,-5.282060143141365
2024-09-17,-1,-1,-0.004338933650718246,-1,0.004338933650718246,0.6043121451407609,1,43.38933650718246
2024-09-18,-1,-1,0.024969839410197814,1,-0.024969839410197814,0.5793423057305631,0,-249.69839410197812
2024-09-19,-1,-1,-0.001905126868821938,-1,0.001905126868821938,0.581247432599385,1,19.05126868821938
2024-09-20,-1,-1,0.002647160237289725,1,-0.002647160237289725,0.5786002723620953,0,-26.47160237289725
2024-09-23,-1,-1,0.0048119333782681295,1,-0.0048119333782681295,0.5737883389838272,0,-48.119333782681295
2024-09-24,-1,-1,0.0009267534799883848,1,-0.0009267534799883848,0.5728615855038388,0,-9.267534799883848
2024-09-25,-1,-1,0.007484894767029182,1,-0.007484894767029182,0.5653766907368096,0,-74.84894767029182
2024-09-26,-1,-1,-0.0055724058643598084,-1,0.0055724058643598084,0.5709490966011694,1,55.724058643598084
2024-09-27,1,1,0.0027081869293690275,1,0.0027081869293690275,0.5736572835305385,1,27.081869293690275
2024-09-30,-1,-1,-0.014030434035160688,-1,0.014030434035160688,0.5876877175656992,1,140.30434035160687
2024-10-01,1,1,0.0014118520293653347,1,0.0014118520293653347,0.5890995695950645,1,14.118520293653347
